SMILES,ID,LNID,WX_inventory,CASRN,MDLNumber,ComputedPrice_1g/$
CC1=CC(=CC=C1Cl)B(O)O,Compound 750,LN00174361,184.553g,161950-10-3,MFCD02683104,3
CCC1=CC=C(C=C1)C2=CC=C(C=C2)B(O)O,Compound 751,LN00174478,1g,153035-62-2,MFCD04038068,4
CCOC(=O)CC1=CC=C(C=C1)B2OC(C)(C)C(C)(C)O2,Compound 752,LN00174554,16.548g,859169-20-3,MFCD08704684,3
CC1=NOC(=C1B(O)O)C,Compound 753,LN00174568,108.74g,16114-47-9,MFCD02677945,3
CC1=CSC=C1B(O)O,Compound 754,LN00174594,4.9g,177735-11-4,MFCD04039882,3
COC1=C(C=CC(=C1)B(O)O)Cl,Compound 755,LN00174776,15.25g,89694-47-3,MFCD01318965,3
CC(C)C1=CC(=CC=C1)B(O)O,Compound 756,LN00174789,7.98g,216019-28-2,MFCD01074634,3
CC(C)S(=O)(=O)C1=CC=C(C=C1)B(O)O,Compound 757,LN00174824,14.55g,850567-98-5,MFCD06659866,3
C1=CC(=CC(=C1)I)B(O)O,Compound 758,LN00174862,28.78g,221037-98-5,MFCD01319015,3
COC1=CC(=C(C=C1)F)B(O)O,Compound 759,LN00174869,161.61g,406482-19-7,MFCD04974115,3
C1=CC=C2C=C(C=CC2=C1)C3=CC=C(C=C3)B(O)O,Compound 760,LN00174968,3g,918655-03-5,MFCD09260454,3
CN1C=C(C=N1)B(O)O,Compound 761,LN00175001,224.65g,847818-55-7,MFCD09414709,3
C1=CC=C2C(=C1)C=CC=C2C3=CC=C(C=C3)B(O)O,Compound 762,LN00175002,1g,870774-25-7,MFCD08669639,3
CC1(C)C(C)(C)OB(C2=CN(CCC#N)N=C2)O1,Compound 763,LN00175084,3.1g,1022092-33-6,MFCD16660233,38
C1=C(C(=CN=C1Cl)Cl)B(O)O,Compound 764,LN00175093,21.585g,847664-64-6,MFCD06798254,3
CC1(C)C(C)(C)OB(C2=NC(=CC=C2)Br)O1,Compound 765,LN00175149,112.33g,651358-83-7,MFCD06796177,3
CC1(C)C(C)(C)OB(C2=CN(C(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)N=C2)O1,Compound 766,LN00175152,3.49g,863238-73-7,MFCD10698507,3
O=C(OC)C1=CC(B(O)O)=C(F)C=C1,Compound 767,LN00175188,23.09g,850568-04-6,MFCD06659868,3
CC(C)(C)OC(=O)N1C=C(C=N1)B(O)O,Compound 768,LN00175269,27.11g,1188405-87-9,MFCD09951915,3
CCN1CCN(CC1)C2=CC=C(C=C2)B3OC(C)(C)C(C)(C)O3,Compound 769,LN00175273,8.415g,656257-45-3,MFCD13190738,24
CC1(C)C(C)(C)OB(C2=CCN(CC2)C(=O)OCC3=CC=CC=C3)O1,Compound 770,LN00175488,78.94g,286961-15-7,MFCD11521562,3
COCCOC1=CC=C(C=C1)B(O)O,Compound 771,LN00175715,2.01g,265664-52-6,MFCD03452784,3
CC1(C)C(C)(C)OB(C2=CC(=CN=C2)Cl)O1,Compound 772,LN00175724,181.67g,865186-94-3,MFCD06798284,3
CS(=O)(=O)NC1=CC=CC=C1B(O)O,Compound 773,LN00175764,1.201g,756520-78-2,MFCD02179471,3
CC1=NC(=CC=C1B(O)O)Cl,Compound 774,LN00175777,6.16g,913836-15-4,MFCD07368875,3
C1=CN=C(C(=C1B(O)O)Cl)F,Compound 775,LN00175788,27.18g,1217500-55-4,MFCD09037477,3
CS(=O)(=O)NC1=CC=C(C=C1)B(O)O,Compound 776,LN00175853,10.18g,380430-57-9,MFCD02179473,3
C1=CC=C2C(=C1)C3=CC=CC=C3N2C4=CC=CC(=C4)B(O)O,Compound 777,LN00175895,79g,864377-33-3,MFCD18072506,3
COC1=NC=C(C(=C1)B(O)O)Cl,Compound 778,LN00175949,13.96g,475275-69-5,MFCD06658398,3
CC1(C)C(C)(C)OB(C2=CN(C3=CC=CC=C3)N=C2)O1,Compound 779,LN00176004,15.5g,1002334-12-4,MFCD12400941,14
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)OCCN3CCCCC3)O1,Compound 780,LN00176013,0.01g,934586-49-9,MFCD09258652,37
CC1(C)C(C)(C)OB(C2=CC(=NC=C2)C(=O)OC)O1,Compound 781,LN00176128,81.33g,957062-72-5,MFCD08752647,3
CC1=NN(C)C(=C1B2OC(C)(C)C(C)(C)O2)C,Compound 782,LN00176463,51.79g,844891-04-9,MFCD06659062,3
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)OC)O1,Compound 783,LN00176571,17.11g,171364-79-7,MFCD05663864,3
CC(C)C[C@@H](B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1)N.C(=O)(C(F)(F)F)O,Compound 784,LN00176599,44.34g,179324-87-9,MFCD10566030,5
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)C(=O)N)O1,Compound 785,LN00176639,4.06g,179117-44-3,MFCD05663887,3
CC(C)(C)OC(=O)N1C2=C(C=CC(=C2)Cl)C=C1B(O)O,Compound 786,LN00176708,371.92g,352359-22-9,MFCD08689539,3
CN1CCN(CC1)C2=CC=C(C=C2)B(O)O,Compound 787,LN00176786,2.77g,229009-40-9,MFCD11223486,3
CC1(C)C(C)(C)OB(C2=CC=NC=C2C#N)O1,Compound 788,LN00176863,2.01g,878194-92-4,MFCD09037481,4
CC1(C)C(C)(C)OB(C2=CN=CC=C2C#N)O1,Compound 789,LN00176897,4.49g,878194-91-3,MFCD08458478,3
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)C(=O)NCCN(C)C)O1,Compound 790,LN00176899,1g,832114-11-1,MFCD05864307,3
CC(C)(C)OC(=O)N1CCC(CC1)N2C=C(C=N2)B3OC(C)(C)C(C)(C)O3,Compound 791,LN00177081,118.08g,877399-74-1,MFCD11112131,3
C1=C(C=NC(=N1)O)B(O)O,Compound 792,LN00177084,3g,373384-19-1,MFCD08275734,3
CC(C)B1OC(C)(C)C(C)(C)O1,Compound 793,LN00177158,95.94g,76347-13-2,MFCD05663856,3
CC1(C)C(C)(C)OB(C2=CC(=C(C=C2)N)F)O1,Compound 794,LN00177190,11.27g,819058-34-9,MFCD09033884,3
CC1(C)C(C)(C)OB(C2=NNC=C2)O1,Compound 795,LN00177228,5800.99g,844501-71-9,MFCD09743409,3
CC1=CC2=C(C=C1)N(C(=C2)B(O)O)C(=O)OC(C)(C)C,Compound 796,LN00177389,5.86g,475102-14-8,MFCD04114580,4
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)C(=O)NCCCN(C)C)O1,Compound 797,LN00177446,0.01g,832114-10-0,MFCD05864306,66
CC1(C)C(C)(C)OB(C2=CC=NC=C2Br)O1,Compound 798,LN00177478,5.75g,458532-92-8,MFCD06798250,9
CC(C)C1=CC(=C(C=C1F)OC)B(O)O,Compound 799,LN00177523,1.9g,875446-29-0,MFCD16294183,4
CC1(C)C(C)(C)OB(C2=C(C#N)N=CC=C2)O1,Compound 800,LN00177549,0.52g,878194-93-5,MFCD08458477,33
COC1=C(C=C(C=C1)B(O)O)[N+](=O)[O-],Compound 801,LN00177572,2.92g,827614-67-5,MFCD03092922,3
CC(C)(OC(NCC1=CC=CC=C1B(O)O)=O)C,Compound 802,LN00177596,0.17g,433969-27-8,MFCD05663974,54
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)NC(=O)OCC3=CC=CC=C3)O1,Compound 803,LN00179946,20g,363186-06-5,MFCD02179440,3
CC1=C(B(O)O)N=CC=C1,Compound 804,LN00180043,0.06g,930303-26-7,MFCD00674178,54
C1=CC=C(C=C1)OC2=CC=CC=C2B(O)O,Compound 805,LN00180068,22.19g,108238-09-1,MFCD01001592,3
CCN1C=C(C=N1)B(O)O,Compound 806,LN00180106,5.46g,847818-56-8,MFCD10703521,29
C1=C(C=CC(=C1)B(O)O)CN,Compound 807,LN00180611,28.259g,51239-46-4,MFCD06213214,53
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)N3CCOCC3)O1,Compound 808,LN00180622,4.31g,568577-88-8,MFCD04112544,3
CC1(C)COB(C2=CC=CC=C2)OC1,Compound 809,LN00181023,23.77g,5123-13-7,MFCD05663851,3
C1=CC(=C(C=C1OC(F)(F)F)B(O)O)F,Compound 810,LN00181072,5.52g,881402-22-8,MFCD09027234,3
C1=C(C=NC=C1B(O)O)C(=O)O,Compound 811,LN00181074,0.39g,913836-03-0,MFCD02323212,12
C1=CC(=NC=C1F)B(O)O,Compound 812,LN00181101,2.23g,946002-10-4,MFCD08705712,21
C1=CC=C2C(=C1)C3=C(C=CC(=C3)B(O)O)N2,Compound 813,LN00181102,0.15g,851524-97-5,MFCD04113810,14
CC1(C)C(C)(C)OB(C2=CC=CC(=C2)CN3CCOCC3)O1,Compound 814,LN00181531,1.16g,364794-80-9,MFCD06797489,3
CC1=NC(=C(C=C1)B(O)O)F,Compound 815,LN00181742,12.9g,906744-85-2,MFCD03411560,20
C1=CN=C(C=C1B(O)O)Br,Compound 816,LN00182737,17.9g,458532-94-0,MFCD06798244,3
CC(C)(C#N)C1=NC=CC(B2OC(C)(C)C(C)(C)O2)=C1,Compound 817,LN00187344,0.1g,1402390-59-3,MFCD22689176,61
CC(C)(OC(NC1=NC=C(B(O)O)C=N1)=O)C,Compound 818,LN00187934,0.01g,883231-25-2,MFCD16251533,3
CC1(C)C(C)(C)OB(C2=C3C=CN(C)C3=CC=C2)O1,Compound 819,LN00187948,1.01g,898289-06-0,MFCD08690266,42
CC(C)OC1=C(C=C(C=C1)B(O)O)Cl,Compound 820,LN00187950,0.4g,480438-56-0,MFCD04974065,4
CC(C)(C)OC(=O)N1CCN(CC1)C2=NC=C(C=C2)B(O)O,Compound 821,LN00187967,0.09g,919347-67-4,MFCD09952037,14
C1=C(C=CC(=C1)S)B(O)O,Compound 822,LN00187986,21.32g,237429-33-3,MFCD03093887,3
CN(C)S(=O)(=O)C1=CC=C(C=C1)B(O)O,Compound 823,LN00187989,5.38g,486422-59-7,MFCD06659849,3
CCOC(=O)C1=CC=C(B(O)O)O1,Compound 824,LN00187994,4.87g,1150114-44-5,MFCD10696632,3
C1CC=C(CC1)B(O)O,Compound 825,LN00188001,1978.14g,89490-05-1,MFCD02179497,3
FC=1C=CC(=CC1B(O)O)NC(OCC2=CC=CC=C2)=O,Compound 826,LN00188005,0.76g,874290-58-1,MFCD12913935,3
CC1(C)C(C)(C)OB(C2=CN(C3CCCCC3)N=C2)O1,Compound 827,LN00188112,0.5g,1175275-00-9,MFCD16659787,41
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)C3=CN=CC=C3)O1,Compound 828,LN00188162,1g,929203-04-3,MFCD11973623,6
CC1(C)C(C)(C)OB(C2=CC(=C(N=C2)OC)C(=O)OC)O1,Compound 829,LN00188185,0.975g,1083168-93-7,MFCD11855973,40
CC(C)(C)OC(=O)N(C1=NC=C(C=N1)B2OC(C)(C)C(C)(C)O2)C(=O)OC(C)(C)C,Compound 830,LN00188187,8.99g,1190423-36-9,MFCD12913985,11
CC(C)(C)OC(=O)N1C=C(C2=C1C=C(C=C2)C#N)B3OC(C)(C)C(C)(C)O3,Compound 831,LN00188188,4g,1218790-23-8,MFCD15143605,28
CC(C)(C)OC(=O)N1C=C(C2=C1C=C(C=C2)Cl)B3OC(C)(C)C(C)(C)O3,Compound 832,LN00188190,0.1g,1218790-24-9,MFCD15143606,3
CC1=C2C(=CC=C1)C(=CN2C(=O)OC(C)(C)C)B3OC(C)(C)C(C)(C)O3,Compound 833,LN00188232,2.24g,1256360-03-8,MFCD16295117,275
CC(C)(C)OC(=O)N1CCN(CC1)C(=O)C2=CC(=CC=C2)B3OC(C)(C)C(C)(C)O3,Compound 834,LN00188234,0.5g,883738-41-8,MFCD09266185,3
C1=CC=C2C(=C1)C(=CC=C2B(O)O)C=O,Compound 835,LN00188238,0.47g,332398-52-4,MFCD01632205,3
FC=1C=CC(=CC1B(O)O)C(NCC2=CC=CC=C2)=O,Compound 836,LN00188306,0.49g,874289-53-9,MFCD08436031,32
CC(C)(C)OC(=O)N1CCN(CC1)CC2=CC=C(C=C2)B(O)O,Compound 837,LN00188349,0.75g,1190095-10-3,MFCD18384135,3
CC(C)(OC(NC1=C(F)C=C(B(O)O)C=C1)=O)C,Compound 838,LN00188353,3g,218301-87-2,MFCD03426360,22
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)OC3=CC=CC=C3)O1,Compound 839,LN00188379,14.86g,269410-26-6,MFCD06795691,3
CC(NC1=NC=C(B(O)O)C=C1)=O,Compound 840,LN00188390,2.23g,947533-21-3,MFCD09951917,40
CC1(C)C(C)(C)OB(C2=C(C(=CC=C2)OC)Cl)O1,Compound 841,LN00188402,0.25g,1151564-03-2,MFCD07782041,3
CC(C)(OC(NC1=C(B(O)O)C=CC=N1)=O)C,Compound 842,LN00188502,4.04g,863753-35-9,MFCD10696635,3
C1=CC(=C(C=C1Br)B(O)O)O,Compound 843,LN00188512,1.47g,89598-97-0,MFCD00093408,18
CC1(C)C(C)(C)OB(C2=CC3=C(C=C2)SC=N3)O1,Compound 844,LN00188514,4.53g,1073354-91-2,MFCD09260439,3
CC1(C)C(C)(C)OB(C2=CSC(=C2)C=O)O1,Compound 845,LN00188530,0.1g,881381-12-0,MFCD12756464,9
COC(=O)C1(CC1)C2=CC=C(C=C2)B(O)O,Compound 846,LN00188540,9.89g,1217501-08-0,MFCD12546570,23
CC1(C)C(C)(C)OB(C2=CC=CC(=C2)C(=O)N3CCN(C)CC3)O1,Compound 847,LN00188565,0.1g,883738-38-3,MFCD05864308,23
CC(C)CN1C=C(B(O)O)C=N1,Compound 848,LN00188597,0.31g,929094-25-7,MFCD09951916,3
CC1=C(C(=CC(=C1)B2OC(C)(C)C(C)(C)O2)C)N,Compound 849,LN00188618,6.45g,1004761-68-5,MFCD18837628,24
C1CCC(CC1)/C=C/B(O)O,Compound 850,LN00188627,0.302g,37490-33-8,MFCD01074615,3
CC1(C)C(C)(C)OB(C2=CC=C3C(=C2)CNC3=O)O1,Compound 851,LN00188651,2.2g,376584-62-2,MFCD11040393,31
C1=C(B(O)O)N=CS1,Compound 852,LN00188656,0.1g,1016642-07-1,MFCD09879002,134
CC(C)(C)OC(=O)N1C=C(C2=C1C=C(C=C2)OC)B3OC(C)(C)C(C)(C)O3,Compound 853,LN00188670,0.8g,1256360-00-5,MFCD14155740,3
CC1(C)C(C)(C)OB(C2=CC(=C(C=C2)C(=O)OC)F)O1,Compound 854,LN00188694,3.93g,603122-52-7,MFCD16996314,3
CCCCCCB(O)O,Compound 855,LN00188712,61.13g,16343-08-1,MFCD01074641,3
CC(C)(C)OC(=O)N1CCN(CC1)C2=NC=C(C=N2)B3OC(C)(C)C(C)(C)O3,Compound 856,LN00188750,29.592g,940284-98-0,MFCD07781250,3
C1=CC=C2C(=C1)C(=CC=C2F)B(O)O,Compound 857,LN00188757,13.97g,182344-25-8,MFCD04039221,5
CC1(C)C(C)(C)OB(C2=CCCC2)O1,Compound 858,LN00188776,92.52g,287944-10-9,MFCD08669391,3
CC1(C)C(C)(C)OB(C2=CN(C3CC3)N=C2)O1,Compound 859,LN00188818,7.7g,1151802-22-0,MFCD16659007,3
CC(C)[C@@H](C(=O)N1CCC[C@H]1B(O)O)N.CS(=O)(=O)O,Compound 860,LN00188850,0.1g,150080-09-4,MFCD13194906,54
CC(C)(OC(NCC1=CC=C(S1)B(O)O)=O)C,Compound 861,LN00188861,5.3g,1072951-39-3,MFCD11504845,3
C#CC1=CC(=CC=C1)B(O)O,Compound 862,LN00188909,3.51g,1189127-05-6,MFCD17677372,3
CCOC1=C(C2=CC=CC=C2C=C1)B(O)O,Compound 863,LN00189009,9.717g,148345-64-6,MFCD05664211,3
C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)B(O)O,Compound 864,LN00189036,43.61g,397843-80-0,MFCD08235089,3
CC(C)(OC(NC1CC=C(B2OC(C)(C(C)(O2)C)C)CC1)=O)C,Compound 865,LN00189046,1626.09g,1251732-64-5,MFCD12032216,3
CN=C1NC=C(C=N1)B(O)O,Compound 866,LN00189147,1g,1033745-26-4,MFCD16618931,61
CC(C)(C)OC(=O)N1C2=C(C=C(C=C2)C(=O)OC)C=C1B(O)O,Compound 867,LN00189154,49.26g,1217500-60-1,MFCD12756415,16
C1=C(C=C(C=O)C(=C1)B(O)O)C(F)(F)F,Compound 868,LN00189169,1.2011g,1217501-35-3,MFCD13195656,3
O=C(OC)C1=CC(B(O)O)=CC=C1C(OC)=O,Compound 869,LN00189187,0.22g,1072951-51-9,MFCD11504854,3
CC1(C)C(C)(C)OB(C2=CC=CC=C2OC(F)F)O1,Compound 870,LN00189225,1g,960067-33-8,MFCD16996403,3
C1=CC(=CC(=C1)N2CCOCC2)B(O)O,Compound 871,LN00189229,5.41g,863377-22-4,MFCD03412095,3
C1CCN(CC1)S(=O)(=O)C2=CC=CC=C2B(O)O,Compound 872,LN00189245,3.16g,957034-87-6,MFCD09475844,21
CC(=O)N1CC=C(CC1)B2OC(C)(C)C(C)(C)O2,Compound 873,LN00189253,2674.28g,1227068-67-8,MFCD18427628,7
CC(C)(C)[Si](C)(C)N1C=CC2=CC(=CC=C21)B(O)O,Compound 874,LN00189275,2g,913835-68-4,MFCD03095156,3
C=C=CB1OC(C)(C)C(C)(C)O1,Compound 875,LN00189290,8.35g,865350-17-0,MFCD09265121,3
CC(C)(C)C1=CC(=CC(=C1)B(O)O)C(C)(C)C,Compound 876,LN00189316,13.97g,197223-39-5,MFCD07780212,3
C1=C(C=CC(=C1)B(O)O)C(F)F,Compound 877,LN00189319,5.4g,946525-43-5,MFCD09056705,8
CC1(C)C(C)(C)OB(C2=CCCCO2)O1,Compound 878,LN00189320,3.69g,1025707-93-0,MFCD07368233,7
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)C3=CC=CC=N3)O1,Compound 879,LN00189341,0.5g,908350-80-1,MFCD11973624,3
C1=CC=C(C(=C1)C#N)B(O)O,Compound 880,LN00189347,1025.3g,138642-62-3,MFCD01632208,3
CC(C)(C)OC(=O)N1CCN(CC1)CC2=CC=C(C=C2)B3OC(C)(C)C(C)(C)O3,Compound 881,LN00189358,17.53g,936694-19-8,MFCD16294502,4
CCN(CC)S(=O)(=O)C1=C(C=CC(=C1)B(O)O)OC,Compound 882,LN00189359,3.395g,1003298-86-9,MFCD08056367,133
CC1(C)C(C)(C)OB(C2=COCCC2)O1,Compound 883,LN00189365,1.18g,1046811-99-7,MFCD13195758,116
CC1=NC(=CC(=C1)B2OC(C)(C)C(C)(C)O2)C,Compound 884,LN00189431,4.89g,325142-95-8,MFCD11617853,11
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)OCCBr)O1,Compound 885,LN00189435,0.3g,913836-27-8,MFCD09027285,3
COC(=O)C1=CC2=C(C=C1)C=C(B(O)O)N2,Compound 886,LN00189441,0.77g,1150114-47-8,MFCD11855843,3
CC(C)(C)OC(=O)N1C=C(C2=C1C=CC(=C2)Cl)B3OC(C)(C)C(C)(C)O3,Compound 887,LN00189461,0.01g,1218790-30-7,MFCD15143612,3
CC1(C)C(C)(C)OB(C2=CC3=C(C=CC=C3OC)N2)O1,Compound 888,LN00189469,0.5g,1072811-21-2,MFCD11858387,3
CC1(C)C(C)(C)OB(C2=CC=C3C(=C2)CCO3)O1,Compound 889,LN00189470,9.07g,937591-69-0,MFCD09743046,3
CC(=O)N1C=C(C=N1)B2OC(C)(C)C(C)(C)O2,Compound 890,LN00189474,22.19g,1150561-76-4,MFCD09027064,17
C1=C(C(=CC(=C1[N+](=O)[O-])Cl)Cl)B(O)O,Compound 891,LN00189475,1g,1072952-12-5,MFCD03095325,3
CC1(C)C(C)(C)OB(C2=CC(=CC(=C2)C(=O)O)C(=O)O)O1,Compound 892,LN00189500,95g,1041434-13-2,MFCD11867793,4
CC1(C)C(C)(C)OB(C2=CC=CC3=C2OCC3)O1,Compound 893,LN00189536,3.26g,934586-50-2,MFCD11109314,3
CC1(C)C(C)(C)OB(C2=CCCO2)O1,Compound 894,LN00189537,2g,1046812-02-5,MFCD11656065,25
CC(C)N(CC1=CC=CC=C1B(O)O)C(C)C,Compound 895,LN00189573,0.25g,95753-26-7,MFCD06409948,3
CCCCCB(O)O,Compound 896,LN00189580,36.5g,4737-50-2,MFCD01074651,3
C1=CN(N=C1)S(=O)(=O)C2=CC=C(C=C2)B(O)O,Compound 897,LN00189582,5.93g,957061-02-8,MFCD09027235,80
C1=CN=C(B(O)O)N1.Cl,Compound 898,LN00189623,1g,1919022-57-3,MFCD16251134,98
CC(C)(C)OC(=O)N1C2=C(C=C(C=C2)C#N)C=C1B(O)O,Compound 899,LN00189624,1.89g,475102-15-9,MFCD04114578,3
CC(C)(C)OC(=O)N1C2CCC1CC(=C2)B3OC(C)(C)C(C)(C)O3,Compound 900,LN00189626,2.8g,900503-08-4,MFCD22380007,3
CC1=CC2=C(C=C1)C=C(B3OC(C)(C)C(C)(C)O3)N2C(=O)OC(C)(C)C,Compound 901,LN00189690,1g,1218791-10-6,MFCD15143591,3
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)OCCN3C(=O)C4=CC=CC=C4C3=O)O1,Compound 902,LN00189696,0.5g,957061-09-5,MFCD09258656,3
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)OC(F)F)O1,Compound 903,LN00189722,2.1g,887757-48-4,MFCD09878543,3
CC1=NN(C(=C1)B(O)O)C(=O)OC(C)(C)C,Compound 904,LN00189734,4.42g,1217501-27-3,MFCD15143457,29
CC1(C)C(C)(C)OB(C2=CC(=CS2)C#N)O1,Compound 905,LN00189755,0.006g,916454-59-6,MFCD09952056,10
CC(C)(C)OC(=O)N1C=C(C2=C1C=CC(=C2)OC)B3OC(C)(C)C(C)(C)O3,Compound 906,LN00189771,0.6g,1256359-99-5,MFCD16295115,3
C1=CC(=C(C=C1Br)[N+](=O)[O-])B(O)O,Compound 907,LN00189810,0.175g,860034-11-3,MFCD12025992,75
CC(C)(C)OC(=O)N1C(=CC2=C1C(=CC=C2)C(=O)OC)B(O)O,Compound 908,LN00189833,5g,953411-05-7,MFCD11504860,3
C1=CC2=C(C=C1B(O)O)SC=N2,Compound 909,LN00189870,2g,499769-91-4,MFCD05664651,53
CC(C)(C)OC(=O)N1C2=C(C=CC(=C2)C(=O)OC)C=C1B(O)O,Compound 910,LN00189872,851.05g,848357-46-0,MFCD11616319,3
CC1=C(C=CC(=N)N1)B2OC(C)(C)C(C)(C)O2,Compound 911,LN00189881,0.1g,1220219-97-5,MFCD13182009,288
COC1=NC=C(C(=C1)B(O)O)Br,Compound 912,LN00189894,3.53g,957060-94-5,MFCD07781223,3
C1=CC(=NC=C1B(O)O)O,Compound 913,LN00189964,8.79g,903899-13-8,MFCD09907979,3
CC(C)(C)OC(=O)N1C=C(C2=C1C=CC(=C2)C#N)B3OC(C)(C)C(C)(C)O3,Compound 914,LN00190021,49.66g,1185427-07-9,MFCD15143604,42
CC(C)(C)OC(=O)N1CCC(C1)B2OC(C)(C)C(C)(C)O2,Compound 915,LN00190024,5.751g,1312712-22-3,MFCD12032619,18
C1=C(C=CC(=C1)B(O)O)C2=CC=C(C=C2)Cl,Compound 916,LN00190038,0.35g,364044-44-0,MFCD08544389,3
CC(C)(C)OC(=O)N1CCN(CC1)C2=CC=CC=C2B3OC(C)(C)C(C)(C)O3,Compound 917,LN00190066,2.025g,1073354-59-2,MFCD08669542,54
CC(C)(C)OC(=O)N(C)C1=NC=C(C=C1)B2OC(C)(C)C(C)(C)O2,Compound 918,LN00190067,0.25g,1032758-87-4,MFCD09037484,30
CC1(C)C(C)(C)OB(C2=CCOCC2)O1,Compound 919,LN00190174,200.2g,287944-16-5,MFCD11052631,3
CC1=NN(C2=C1C=C(C=C2)B3OC(C)(C)C(C)(C)O3)C(=O)OC(C)(C)C,Compound 920,LN00190327,8.68g,864770-82-1,MFCD13195073,3
CCOC1=CC2=CC=C(C=C2C=C1)B(O)O,Compound 921,LN00190340,399.965g,352525-98-5,MFCD03427009,3
CC(C)(C)OC(=O)N1C2=C(C=CC(=C2)OC)C=C1B(O)O,Compound 922,LN00190360,1.0031g,850568-65-9,MFCD06659830,3
CC1(C)C(C)(C)OB(C2=CC(=CC=C2)OC3=CC=CC=C3)O1,Compound 923,LN00190399,6.75g,864772-18-9,MFCD11973622,70
CC1=CC=CC=C1C2=CC=C(C=C2)B(O)O,Compound 924,LN00190411,339.28g,491595-36-9,MFCD08701726,3
CC1(C)C(C)(C)OB(C2=CCC(CC2)C3=CC=CC=C3)O1,Compound 925,LN00190415,2g,287944-05-2,MFCD11520534,3
CC(C)OC1=CC(=C(C=C1)B(O)O)Cl,Compound 926,LN00190416,0.05g,313545-47-0,MFCD02684319,3
C1=C(C(=CN=C1Br)Cl)B(O)O,Compound 927,LN00190423,5g,1072952-51-2,MFCD08064041,27
CC(C)OC1=CC(=C(C=C1)B(O)O)C(F)(F)F,Compound 928,LN00190424,0.2g,313545-40-3,MFCD04972373,34
CC(C)(NC(C1=CC(B(O)O)=C(F)C=C1)=O)C,Compound 929,LN00190433,0.05g,874289-51-7,MFCD08436054,3
CC1=NOC(=C1B2OC(C)(C)C(C)(C)O2)C,Compound 930,LN00190448,1139.57g,832114-00-8,MFCD05863910,3
C1=C(B(O)O)SC(=C1)B(O)O,Compound 931,LN00190480,5g,26076-46-0,MFCD01114699,3
CC(=O)C1=CC=C(C=C1)B2OC(C)(C)C(C)(C)O2,Compound 932,LN00190486,21.24g,171364-81-1,MFCD05863922,3
CC1=CC=C(C=C1)CB2OC(C)(C)C(C)(C)O2,Compound 933,LN00190533,3.27g,356570-52-0,MFCD08276847,3
CC(C)(C)OC(=O)N1C=CC(=C1)B2OC(C)(C)C(C)(C)O2,Compound 934,LN00190534,0.1g,935278-73-2,MFCD11504966,3
CC(C)(C)[Si](C)(C)OCC/C=C/B1OC(C)(C)C(C)(C)O1,Compound 935,LN00190546,3.98g,480425-30-7,MFCD05664265,3
CC1(C)C(C)(C)OB(C2=CC(=CC(=C2)OC)OC)O1,Compound 936,LN00190558,17.4g,365564-07-4,MFCD05865191,3
COC1=C(C=CC=N1)B(O)O.O,Compound 937,LN00190576,7.82g,1256355-25-5,MFCD06659055,3
CC1(C)C(C)(C)OB(C2=CC(=C(C=C2)C(=O)OC)Cl)O1,Compound 938,LN00190593,3.16g,334018-52-9,MFCD06659928,3
CC1(C)C(C)(C)OB(C#CC2=CC=CC=C2)O1,Compound 939,LN00190594,2g,159087-45-3,MFCD09842761,26
CC1(C)C(C)(C)OB(C2=CC=C(C=C2)C3CCCCC3)O1,Compound 940,LN00190627,0.1g,820223-94-7,MFCD17015819,17
CC(NC(C1=C(F)C=CC(B(O)O)=C1)=O)C,Compound 941,LN00190633,4.44g,874219-21-3,MFCD08235040,11
CCOC(=O)C1=C(C=CO1)B(O)O,Compound 942,LN00190636,0.7g,1150114-62-7,MFCD12025973,18
CCCCCCB1OCCNCCO1,Compound 943,LN00190642,474.7g,96472-47-8,MFCD08274480,3
CC1=CC(=CC=C1B(O)O)C(F)(F)F,Compound 944,LN00190643,2.01g,957034-45-6,MFCD08689550,3
CC1(C)C(C)(C)OB(C2=CC(=CC=C2)N3CCCCC3)O1,Compound 945,LN00190644,2.021g,852227-97-5,MFCD07368528,17
CC1(C)C(C)(C)OB(C2=CC(=C(C=C2)C(=O)O)Cl)O1,Compound 946,LN00190677,1.423g,890839-31-3,MFCD12546621,13
C1CCOC(C1)N2C(=CC(=N2)C(F)(F)F)B(O)O,Compound 947,LN00190681,24.7g,1141878-45-6,MFCD17214248,68
CC1(C)C(C)(C)OB(C2CCC3(CC2)OCCO3)O1,Compound 948,LN00190692,3g,1106871-37-7,MFCD14581935,3
